# id	left	top	right	bottom	texture_id
[SPRITES]
#################### BIG MARIO  ####################################
# idle right
10001	216	243	229	270	30

# IDLE LEFT
10002	176	243	190	270	30

# WALK RIGHT
10003	255	243	271	270	30	
10004	295	244	311	270	30

# WALK LEFT
10005	135	243	151	270	30
10006	95	244	111	270	30

#JUMP RIGHT
10007	335	244	351	270	30

#JUMP LEFT
10008	55	244	71	270	30

# RUN MAX RIGHT
10009	213	323	232	350	30
10010	253	323	272	350	30
10011	293	324	312	350	30

# RUN MAX LEFT
10012	174	323	193	350	30
10013	134	323	153	350	30
10014	94	324	113	350	30

#WALK TO RIGHT BACK LEFT
10015	215	283	231	311	30

#WALK TO LEFT BACK RIGHT
10016	175	283	191	311	30

#SIT RIGHT 
10017	376	248	390	266	30

#SIT LEFT
10018	16	248	30	266	30

# RUNNING JUMP RIGHT
10019	333	364	352	390	30

# RUNNING JUMP LEFT
10020	54	364	73	390	30

#FALL RIGHT
10021	295	244	311	270	30

#FALL LEFT
10022	95	244	111	270	30

#HOLD IDLE RIGHT
10023	331	323	347	350	30

#HOLD IDLE LEFT
10024	61	323	75	350	30

#HOLD WALK RIGHT
10025	356	323	371	350	30
10026	381	323	396	350	30

#HOLD WALK LEFT
10027	35	323	50	350	30
10028	10	323	24	350	30

# KICK RIGHT
10029	252	283	273	310	30

#KICK LEFT
10030	133	283	154	310	30


##################### SMALL MARIO #######################################
#IDLE RIGHT
11001	217	89	229	104	30

#IDLE LEFT
11002	177	89	189	104	30

#WALK RIGHT
11003	256	89	271	104	30

#WALK LEFT
11004	135	89	150	104	30

#JUMP RIGHT
11005	335	89	351	105	30

#JUMP LEFT 
11006	55	89	71	105	30

#RUN MAX RIGHT
11007	215	169	231	185	30
11008	255	169	271	185	30

# RUN MAX LEFT
11009	175	169	191	185	30
11010	135	169	151	185	30

#WALK TO RIGHT BACK LEFT
11011	216	129	230	145	30

#WALK TO LEFT BACK RIGHT
11012	176	129	190	145	30

#RUNNING JUMP RIGHT
11013	215	209	231	225	30

#RUNNING JUMP LEFT
11014	175	209	191	225	30

#FALL RIGHT
11015	335	89	351	105	30

#FALL LEFT
11016	55	89	71	105	30

#HOLD IDLE RIGHT
11017	336	169	350	185	30

#HOLD IDLE LEFT
11018	56	169	70	185	30

#HOLD WALK RIGHT
11019	376	169	391	185	30

#HOLD WALK LEFT
11020	15	169	30	185	30

#KICK RIGHT
11021	255	129	271	145	30

#KICK LEFT
11022	135	129	151	145	30


#################### RACCOON  ####################################
# idle right
12001	212	443	234	471	30

# IDLE LEFT
12002	173	443	195	472	30

# WALK RIGHT
12003	262	443	284	472	30	
12004	291	443	314	472	30

# WALK LEFT
12005	122	443	144	470	30
12006	92	443	115	470	30

#JUMP RIGHT
12007	331	443	354	470	30

#JUMP LEFT
12008	52	443	75	470	30

# RUN MAX RIGHT
12009	211	523	236	552	30
12010	251	523	276	552	30
12011	291	523	316	552	30

# RUN MAX LEFT
12012	171	523	195	552	30
12013	131	523	155	552	30
12014	91	523	115	552	30

#WALK TO RIGHT BACK LEFT
12015	214	482	233	511	30

#WALK TO LEFT BACK RIGHT
12016	175	482	192	511	30

#SIT RIGHT 
12017	372	448	396	467	30

#SIT LEFT
12018	12	448	35	467	30

# RUNNING JUMP RIGHT
12019	371	603	395	630	30

# RUNNING JUMP LEFT
12020	11	603	35	630	30

#FALL RIGHT
12021	211	602	235	630	30

#FALL LEFT
12022	170	602	196	630	30

#HOLD IDLE RIGHT
12023	322	523	343	551	30

#HOLD IDLE LEFT
12024	63	523	84	551	30

#HOLD WALK RIGHT
12025	351	523	373	551	30
12026	381	523	404	551	30

#HOLD WALK LEFT
12027	33	523	55	551	30
12028	2	523	25	551	30

# KICK RIGHT
12029	247	483	269	511	30

#KICK LEFT
12030	137	483	159	511	30

#FLY RIGHT
12031	291	603	315	631	30
12032	331	603	355	630	30
12033	371	603	395	630	30

#FLY LEFT
12034	91	603	115	631	30
12035	51	603	75	630	30
12036	11	603	35	630	30

#FALL SLOW RIGHT
12037	252	603	274	631	30

#FALL SLOW LEFT
12038	132	603	154	631	30

#################### FIRE MARIO  ####################################
# idle right
13001	216	683	230	710	30

# IDLE LEFT
13002	176	683	190	710	30

# WALK RIGHT
13003	255	683	271	710	30	
13004	295	684	311	710	30

# WALK LEFT
13005	135	684	151	710	30
13006	95	684	111	710	30

#JUMP RIGHT
13007	335	684	351	710	30

#JUMP LEFT
13008	55	684	71	710	30

# RUN MAX RIGHT
13009	213	763	232	790	30
13010	253	763	272	790	30
13011	293	764	312	790	30

# RUN MAX LEFT
13012	174	763	193	790	30
13013	134	763	153	790	30
13014	94	764	113	790	30

#WALK TO RIGHT BACK LEFT
13015	215	723	231	751	30

#WALK TO LEFT BACK RIGHT
13016	175	723	191	751	30

#SIT RIGHT 
13017	376	688	390	706	30

#SIT LEFT
13018	16	688	30	706	30

# RUNNING JUMP RIGHT
13019	333	804	352	830	30

# RUNNING JUMP LEFT
13020	54	804	73	830	30

#FALL RIGHT
13021	295	684	311	710	30

#FALL LEFT
13022	95	684	111	710	30

#HOLD IDLE RIGHT
13023	331	763	345	790	30

#HOLD IDLE LEFT
13024	61	763	75	790	30

#HOLD WALK RIGHT
13025	356	763	371	790	30
13026	380	764	396	790	30

#HOLD WALK LEFT
13027	35	763	50	790	30
13028	10	764	26	790	30

# KICK RIGHT
13029	252	723	273	750	30

#KICK LEFT
13030	133	723	154	750	30

#SHOOT FIRE RIGHT
13031	216	683	230	710	30
13032	366	803	379	830	30
13033	386	803	400	830	30

#SHOOT FIRE LEFT
13034	176	683	190	710	30
13035	26	803	40	830	30
13036	6	803	20	830	30

#DIE
999	15	23	31	39	30

# ani_id	sprite1_id	time1	sprite2_id	time2	...
############################################################################################################################
[ANIMATIONS]

